driverId,driverRef,number,code,surname,dob,nationality
1,hamilton,44,HAM,Hamilton,1985-01-07,British
2,heidfeld,NULL,HEI,Heidfeld,1977-05-10,German
3,rosberg,6,ROS,Rosberg,1985-06-27,German
4,alonso,14,ALO,Alonso,1981-07-29,Spanish
5,kovalainen,NULL,KOV,Kovalainen,1981-10-19,Finnish
6,nakajima,NULL,NAK,Nakajima,1985-01-11,Japanese
7,bourdais,NULL,BOU,Bourdais,1979-02-28,French
8,raikkonen,7,RAI,Raikkonen,1979-10-17,Finnish
9,kubica,88,KUB,Kubica,1984-12-07,Polish
10,glock,NULL,GLO,Glock,1982-03-18,German
11,sato,NULL,SAT,Sato,1977-01-28,Japanese
12,piquet_jr,NULL,PIQ,Piquet Jr,1985-07-25,Brazilian
13,massa,19,MAS,Massa,1981-04-25,Brazilian
14,coulthard,NULL,COU,Coulthard,1971-03-27,British
15,trulli,NULL,TRU,Trulli,1974-07-13,Italian
16,sutil,99,SUT,Sutil,1983-01-11,German
17,webber,NULL,WEB,Webber,1976-08-27,Australian
18,button,22,BUT,Button,1980-01-19,British
19,davidson,NULL,DAV,Davidson,1979-04-18,British
20,vettel,5,VET,Vettel,1987-07-03,German
21,fisichella,NULL,FIS,Fisichella,1973-01-14,Italian
22,barrichello,NULL,BAR,Barrichello,1972-05-23,Brazilian
23,ralf_schumacher,NULL,SCH,Schumacher,1975-06-30,German
24,liuzzi,NULL,LIU,Liuzzi,1980-08-06,Italian
25,wurz,NULL,WUR,Wurz,1974-02-15,Austrian
26,speed,NULL,SPE,Speed,1983-01-24,American
27,albers,NULL,ALB,Albers,1979-04-16,Dutch
28,markus_winkelhock,NULL,WIN,Winkelhock,1980-06-13,German
29,yamamoto,NULL,YAM,Yamamoto,1982-07-09,Japanese
30,michael_schumacher,NULL,MSC,Schumacher,1969-01-03,German
31,montoya,NULL,MON,Pablo Montoya,1975-09-20,Colombian
32,klien,NULL,KLI,Klien,1983-02-07,Austrian
33,monteiro,NULL,TMO,Monteiro,1976-07-24,Portuguese
34,ide,NULL,IDE,Ide,1975-01-21,Japanese
35,villeneuve,NULL,VIL,Villeneuve,1971-04-09,Canadian
36,montagny,NULL,FMO,Montagny,1978-01-05,French
37,rosa,NULL,DLR,de la Rosa,1971-02-24,Spanish
38,doornbos,NULL,DOO,Doornbos,1981-09-23,Dutch
39,karthikeyan,NULL,KAR,Karthikeyan,1977-01-14,Indian
40,friesacher,NULL,FRI,Friesacher,1980-09-26,Austrian
41,zonta,NULL,ZON,Zonta,1976-03-23,Brazilian
42,pizzonia,NULL,PIZ,Pizzonia,1980-09-11,Brazilian
43,matta,NULL,NULL,da Matta,1973-09-19,Brazilian
44,panis,NULL,NULL,Panis,1966-09-02,French
45,pantano,NULL,NULL,Pantano,1979-02-04,Italian
46,bruni,NULL,NULL,Bruni,1981-05-30,Italian
47,baumgartner,NULL,NULL,Baumgartner,1981-01-01,Hungarian
48,gene,NULL,NULL,Gene,1974-03-29,Spanish
49,frentzen,NULL,NULL,Frentzen,1967-05-18,German
50,verstappen,NULL,NULL,Verstappen,1972-03-04,Dutch
51,wilson,NULL,NULL,Wilson,1978-07-31,British
52,firman,NULL,NULL,Firman,1975-05-20,Irish
53,kiesa,NULL,NULL,Kiesa,1978-03-03,Danish
54,burti,NULL,NULL,Burti,1975-03-05,Brazilian
55,alesi,NULL,NULL,Alesi,1964-06-11,French
56,irvine,NULL,NULL,Irvine,1965-11-10,British
57,hakkinen,NULL,NULL,Hakkinen,1968-09-28,Finnish
58,marques,NULL,NULL,Marques,1976-01-19,Brazilian
59,bernoldi,NULL,NULL,Bernoldi,1978-10-19,Brazilian
60,mazzacane,NULL,NULL,Mazzacane,1975-05-08,Argentine
61,enge,NULL,NULL,Enge,1976-09-11,Czech
62,yoong,NULL,NULL,Yoong,1976-07-20,Malaysian
63,salo,NULL,NULL,Salo,1966-11-30,Finnish
64,diniz,NULL,NULL,Diniz,1970-05-22,Brazilian
65,herbert,NULL,NULL,Herbert,1964-06-25,British
66,mcnish,NULL,NULL,McNish,1969-12-29,British
67,buemi,NULL,BUE,Buemi,1988-10-31,Swiss
68,takagi,NULL,NULL,Takagi,1974-02-12,Japanese
69,badoer,NULL,BAD,Badoer,1971-01-25,Italian
70,zanardi,NULL,NULL,Zanardi,1966-10-23,Italian
71,damon_hill,NULL,NULL,Hill,1960-09-17,British
72,sarrazin,NULL,NULL,Sarrazin,1975-11-02,French
73,rosset,NULL,NULL,Rosset,1968-07-27,Brazilian
74,tuero,NULL,NULL,Tuero,1978-04-22,Argentine
75,nakano,NULL,NULL,Nakano,1971-04-01,Japanese
76,magnussen,NULL,MAG,Magnussen,1973-07-04,Danish
77,berger,NULL,NULL,Berger,1959-08-27,Austrian
78,larini,NULL,NULL,Larini,1964-03-19,Italian
79,katayama,NULL,NULL,Katayama,1963-05-29,Japanese
80,sospiri,NULL,NULL,Sospiri,1966-10-07,Italian
81,morbidelli,NULL,NULL,Morbidelli,1968-01-13,Italian
82,fontana,NULL,NULL,Fontana,1975-01-20,Argentine
83,lamy,NULL,NULL,Lamy,1972-03-20,Portuguese
84,brundle,NULL,NULL,Brundle,1959-06-01,British
85,montermini,NULL,NULL,Montermini,1964-05-30,Italian
86,lavaggi,NULL,NULL,Lavaggi,1958-02-18,Italian
87,blundell,NULL,NULL,Blundell,1966-04-08,British
88,suzuki,NULL,NULL,Suzuki,1960-09-08,Japanese
89,inoue,NULL,NULL,Inoue,1963-09-05,Japanese
90,moreno,NULL,NULL,Moreno,1959-02-11,Brazilian
91,wendlinger,NULL,NULL,Wendlinger,1968-12-20,Austrian
92,gachot,NULL,NULL,Gachot,1962-12-23,Belgian
93,schiattarella,NULL,NULL,Schiattarella,1967-11-17,Italian
94,martini,NULL,NULL,Martini,1961-04-23,Italian
95,mansell,NULL,NULL,Mansell,1953-08-08,British
96,boullion,NULL,NULL,Boullion,1969-12-27,French
97,papis,NULL,NULL,Papis,1969-10-03,Italian
98,deletraz,NULL,NULL,Deletraz,1963-10-01,Swiss
99,tarquini,NULL,NULL,Tarquini,1962-03-02,Italian
100,comas,NULL,NULL,Comas,1963-09-28,French
101,brabham,NULL,NULL,Brabham,1965-09-05,Australian
102,senna,NULL,NULL,Senna,1960-03-21,Brazilian
103,bernard,NULL,NULL,Bernard,1964-08-24,French
104,fittipaldi,NULL,NULL,Fittipaldi,1971-01-18,Brazilian
105,alboreto,NULL,NULL,Alboreto,1956-12-23,Italian
106,beretta,NULL,NULL,Beretta,1969-11-23,Monegasque
107,ratzenberger,NULL,NULL,Ratzenberger,1960-07-04,Austrian
108,belmondo,NULL,NULL,Belmondo,1963-04-23,French
109,lehto,NULL,NULL,Jarvilehto,1966-01-31,Finnish
110,cesaris,NULL,NULL,de Cesaris,1959-05-31,Italian
111,gounon,NULL,NULL,Gounon,1963-01-01,French
112,alliot,NULL,NULL,Alliot,1954-07-27,French
113,adams,NULL,NULL,Adams,1969-11-19,Belgian
114,dalmas,NULL,NULL,Dalmas,1961-07-28,French
115,noda,NULL,NULL,Noda,1969-03-07,Japanese
116,lagorce,NULL,NULL,Lagorce,1968-09-01,French
117,prost,NULL,NULL,Prost,1955-02-24,French
118,warwick,NULL,NULL,Warwick,1954-08-27,British
119,patrese,NULL,NULL,Patrese,1954-04-17,Italian
120,barbazza,NULL,NULL,Barbazza,1963-04-02,Italian
121,andretti,NULL,NULL,Andretti,1962-10-05,American
122,capelli,NULL,NULL,Capelli,1963-05-24,Italian
123,boutsen,NULL,NULL,Boutsen,1957-07-13,Belgian
124,apicella,NULL,NULL,Apicella,1965-10-07,Italian
125,naspetti,NULL,NULL,Naspetti,1968-02-24,Italian
126,toshio_suzuki,NULL,NULL,Suzuki,1955-03-10,Japanese
127,gugelmin,NULL,NULL,Gugelmin,1963-04-20,Brazilian
128,poele,NULL,NULL,van de Poele,1961-09-30,Belgian
129,grouillard,NULL,NULL,Grouillard,1958-09-02,French
130,chiesa,NULL,NULL,Chiesa,1964-05-06,Swiss
131,modena,NULL,NULL,Modena,1963-05-12,Italian
132,amati,NULL,NULL,Amati,1959-07-20,Italian
133,caffi,NULL,NULL,Caffi,1964-03-18,Italian
134,bertaggia,NULL,NULL,Bertaggia,1964-09-19,Italian
135,mccarthy,NULL,NULL,McCarthy,1961-03-03,British
136,lammers,NULL,NULL,Lammers,1956-06-02,Dutch
137,piquet,NULL,NULL,Piquet,1952-08-17,Brazilian
138,satoru_nakajima,NULL,NULL,Nakajima,1953-02-23,Japanese
139,pirro,NULL,NULL,Pirro,1962-01-12,Italian
140,johansson,NULL,NULL,Johansson,1956-09-08,Swedish
141,bailey,NULL,NULL,Bailey,1961-10-09,British
142,chaves,NULL,NULL,Chaves,1965-02-27,Portuguese
143,bartels,NULL,NULL,Bartels,1968-03-08,German
144,hattori,NULL,NULL,Hattori,1966-06-13,Japanese
145,nannini,NULL,NULL,Nannini,1959-07-07,Italian
146,schneider,NULL,NULL,Schneider,1964-07-20,German
147,barilla,NULL,NULL,Barilla,1961-04-20,Italian
148,foitek,NULL,NULL,Foitek,1965-03-27,Swiss
149,langes,NULL,NULL,Langes,1960-07-20,Italian
150,gary_brabham,NULL,NULL,Brabham,1961-03-29,Australian
151,donnelly,NULL,NULL,Donnelly,1964-03-26,British
152,giacomelli,NULL,NULL,Giacomelli,1952-09-10,Italian
153,alguersuari,NULL,ALG,Alguersuari,1990-03-23,Spanish
154,grosjean,8,GRO,Grosjean,1986-04-17,French
155,kobayashi,10,KOB,Kobayashi,1986-09-13,Japanese
156,palmer,NULL,NULL,Palmer,1956-11-07,British
157,danner,NULL,NULL,Danner,1958-04-04,German
158,cheever,NULL,NULL,Cheever,1958-01-10,American
159,sala,NULL,NULL,Perez-Sala,1959-05-15,Spanish
160,ghinzani,NULL,NULL,Ghinzani,1952-01-16,Italian
161,weidler,NULL,NULL,Weidler,1962-03-18,German
162,raphanel,NULL,NULL,Raphanel,1961-05-27,French
163,arnoux,NULL,NULL,Arnoux,1948-07-04,French
164,joachim_winkelhock,NULL,NULL,Winkelhock,1960-10-24,German
165,larrauri,NULL,NULL,Larrauri,1954-08-19,Argentine
166,streiff,NULL,NULL,Streiff,1955-06-26,French
167,campos,NULL,NULL,Campos,1960-06-17,Spanish
168,schlesser,NULL,NULL,Schlesser,1948-09-12,French
169,fabre,NULL,NULL,Fabre,1960-01-09,French
170,fabi,NULL,NULL,Fabi,1955-03-09,Italian
171,forini,NULL,NULL,Forini,1958-09-22,Swiss
172,laffite,NULL,NULL,Laffite,1943-11-21,French
173,angelis,NULL,NULL,de Angelis,1958-03-26,Italian
174,dumfries,NULL,NULL,Dumfries,1958-04-26,British
175,tambay,NULL,NULL,Tambay,1949-06-25,French
176,surer,NULL,NULL,Surer,1951-09-18,Swiss
177,keke_rosberg,NULL,NULL,Rosberg,1948-12-06,Finnish
178,jones,NULL,NULL,Jones,1946-11-02,Australian
179,rothengatter,NULL,NULL,Rothengatter,1954-10-08,Dutch
180,berg,NULL,NULL,Berg,1961-08-01,Canadian
181,manfred_winkelhock,NULL,NULL,Winkelhock,1951-10-06,German
182,lauda,NULL,NULL,Lauda,1949-02-22,Austrian
183,hesnault,NULL,NULL,Hesnault,1956-12-30,French
