position	milliseconds
19	58563
10	57601
18	57151
9	56733
7	56710
22	56611
7	56083
9	55789
19	55222
15	54673
8	52874
17	52206
15	52043
15	51757
17	51684
16	51222
16	51007
13	51000
10	51000
9	51000
11	51000
8	51000
16	50790
18	50738
7	50000
1	50000
3	50000
4	50000
5	50000
2	50000
6	50000
12	50000
14	50000
19	49849
17	49729
10	49216
14	49162
15	48984
13	48861
17	47942
11	47763
16	47753
12	47226
15	46557
14	45878
12	45875
16	45695
15	45538
15	45291
17	44990
8	44747
11	44608
7	44582
14	44428
19	44170
11	44107
17	44101
17	44085
13	43964
22	43603
11	43576
15	43574
14	43411
11	43124
15	43032
15	42934
20	42920
3	42786
18	42529
7	42432
18	42368
5	42292
16	41508
13	41500
5	41458
3	41352
15	41282
18	41173
19	41154
14	41048
12	41012
16	41008
5	40957
6	40740
19	40734
13	40612
12	40506
12	40497
1	40266
17	40169
12	40144
16	40028
17	39917
10	39888
10	39844
5	39839
13	39562
1	39522
15	39502
9	39455
10	39345
11	39208
13	39188
7	39081
16	39046
16	39041
15	38906
10	38893
22	38887
3	38573
17	38563
16	38468
11	38464
17	38338
17	38297
14	38291
3	38277
17	38262
4	38201
2	38198
15	38193
12	38128
4	38061
17	38032
17	37975
14	37855
15	37847
11	37837
23	37748
12	37748
4	37735
16	37700
7	37539
6	37509
19	37494
6	37446
8	37403
13	37380
14	37352
11	37345
10	37334
11	37317
2	37302
12	37286
13	37190
2	37189
4	37122
9	37116
15	37108
15	37003
13	36899
21	36876
15	36856
20	36854
12	36813
15	36773
15	36704
11	36671
17	36646
13	36630
17	36590
17	36564
6	36560
13	36559
20	36542
6	36524
14	36520
14	36517
13	36512
14	36503
10	36457
16	36444
15	36351
19	36335
15	36333
13	36278
9	36264
2	36262
15	36196
13	36189
19	36148
13	36146
7	36138
15	36105
9	36026
14	35998
12	35969
13	35864
13	35776
6	35760
19	35760
4	35688
19	35651
13	35608
18	35573
9	35546
9	35509
11	35486
13	35485
10	35451
15	35416
15	35398
14	35351
2	35327
6	35309
7	35289
10	35284
1	35266
9	35245
17	35228
6	35210
7	35204
6	35112
15	35100
18	35092
13	35072
17	35006
9	34970
5	34921
13	34897
10	34847
13	34807
19	34782
11	34773
14	34759
11	34742
15	34711
12	34672
18	34650
14	34601
11	34492
15	34489
15	34438
6	34410
6	34340
14	34338
20	34329
10	34264
14	34249
6	34201
5	34193
17	34166
18	34109
5	34100
19	34022
16	34000
2	34000
1	34000
3	34000
4	34000
5	34000
7	34000
6	34000
15	34000
9	34000
8	34000
11	34000
13	34000
12	34000
10	34000
18	34000
14	34000
17	34000
16	34000
6	33979
16	33961
18	33937
18	33931
5	33921
12	33918
7	33891
17	33887
13	33836
21	33827
9	33821
2	33820
16	33816
16	33796
9	33765
17	33753
11	33734
3	33689
15	33650
18	33638
4	33617
14	33612
16	33607
5	33605
11	33602
10	33583
15	33529
10	33491
13	33490
8	33462
5	33456
15	33433
15	33431
8	33418
18	33405
9	33401
14	33395
10	33344
16	33338
8	33328
14	33317
8	33308
9	33281
2	33279
13	33278
14	33264
8	33256
14	33215
18	33200
14	33074
16	33068
19	33058
17	33042
12	33016
3	33013
1	33000
2	33000
3	33000
7	33000
4	33000
6	33000
9	33000
8	33000
12	33000
15	33000
10	33000
11	33000
14	33000
16	33000
5	33000
13	33000
1	33000
15	33000
2	33000
3	33000
4	33000
7	33000
5	33000
8	33000
9	33000
6	33000
10	33000
11	33000
12	33000
13	33000
17	32997
14	32991
19	32943
6	32924
1	32899
3	32897
14	32874
12	32827
9	32823
8	32821
9	32800
